t,E0,E1,E2
60.2,28.193401077542536,-0.38854265792082965,-0.09886621629159023
60.300000000000004,28.202411527258754,-0.3437251434332951,-0.12732762693499308
60.4,28.21137703716953,-0.2939452155723896,-0.15928214569598165
60.5,28.220297831413077,-0.2387013389305295,-0.19504335419310984
60.6,28.229174133009714,-0.17753389553053478,-0.23486950819853725
60.7,28.238006163867443,-0.11005995948985754,-0.2789332208396739
60.800000000000004,28.2467941447875,-0.036008376466503275,-0.32729252306584306
60.9,28.25553829546987,0.04474801728044308,-0.3798662708040176
61.0,28.26423883451876,0.13216754968363933,-0.4364180058655484
61.1,28.272895979448116,0.2260275476493489,-0.4965529171145956
61.2,28.281509946687002,0.32593184211434373,-0.5597339405703938
61.300000000000004,28.29008095158505,0.43135505423042564,-0.6253326162163234
61.4,28.29860920841783,0.5417964272056053,-0.6927838779554663
61.5,28.3070949303922,0.6572067358211862,-0.7619973601456741
61.6,28.315538329651666,0.7778581111890991,-0.8331949928050181
61.7,28.323939617281642,0.9024145983043431,-0.9050162872287865
61.800000000000004,28.332299003314752,1.027359594283568,-0.9740665538375295
61.9,28.34061669673609,1.1482344315512867,-1.0362365808898946
62.0,28.348892905488416,1.2607780914708067,-1.0878434452131895
62.1,28.357127836477382,1.3615158304114654,-1.1261702910128728
62.2,28.365321695576696,1.4478488830178622,-1.1494922170463333
62.300000000000004,28.373474687633262,1.5178301240361558,-1.1567981076115568
62.4,28.3815870164723,1.569847296012107,-1.1474407881353665
62.5,28.389658884902463,1.6023739803382508,-1.1208742830023266
62.6,28.397690494720873,1.613846623735037,-1.0765289046702085
62.7,28.405682046718198,1.60264434552264,-1.013793129835531
62.800000000000004,28.413633740683654,1.5671206498930546,-0.9320466432427861
62.9,28.421545775410006,1.5056531489356972,-0.8307088362196291
63.0,28.429418348698526,1.416699623177692,-0.7092906659538047
63.1,28.437251657363966,1.2989032074942872,-0.56749199307919
63.2,28.445045897239442,1.152246418309059,-0.4063240658315513
63.300000000000004,28.452801263181364,0.988893996040333,-0.23865439381399267
63.4,28.460517949074283,0.860339864438735,-0.11483997845288692
63.5,28.46819614783575,0.7982570917076104,-0.06253187132394082
63.6,28.475836051421133,0.7691881310542882,-0.044928936444893666
63.7,28.48343785082842,0.7499886938217274,-0.037643942900099224
63.800000000000004,28.491001736102984,0.7337780313192507,-0.033436107826166496
63.9,28.498527896342356,0.7187027928608788,-0.030338114644025475
64.0,28.50601651970094,0.7042161743376893,-0.027758580552384827
64.1,28.5134677933947,0.6901336069632062,-0.025490657644744105
64.2,28.52088190370587,0.6763825816305875,-0.023448054647041278
64.3,28.5282590359876,0.6629293713338072,-0.02158718647117119
64.4,28.53559937466858,0.6497550611637651,-0.01988148566682858
64.5,28.542903103257647,0.6368467124741912,-0.01831183960221329
64.6,28.550170404348414,0.6241934741141449,-0.016862369446314956
64.7,28.557401459623776,0.6117840117299895,-0.015517727037778416
64.8,28.564596449860492,0.5996029771200748,-0.014259606064057219
64.9,28.57175555493369,0.5876221596744314,-0.013058256597098365
65.0,28.57887895382138,0.5757697589283334,-0.011843092945454752
65.1,28.5859668246089,0.5637926351338952,-0.010370248946170177
65.2,28.59301934449338,0.5505349715141307,-0.007526733162615626
65.3,28.600036689788197,0.5318641379710408,0.0006362588739191369
65.4,28.607019035927348,0.5036615308236994,0.017788218527213264
65.5,28.613966557469844,0.4675669549646816,0.0418110905191794
65.6,28.620879428104086,0.4256548518168119,0.07032271293419508
65.7,28.6277578206522,0.37848009361082235,0.10255638045608004
65.8,28.63460190707436,0.3259062118305919,0.13846133980014683
65.9,28.641411858473084,0.267584215359508,0.17819833368086055
66.0,28.64818784509751,0.20313816145423663,0.22194806237030135
66.1,28.654930036347658,0.13225124107045924,0.2698268466123128
66.2,28.66163860077865,0.054718829953009425,0.3218390338281711
66.3,28.66831370610496,-0.029513680653623683,0.3778467854714768
66.4,28.674955519204563,-0.12032559792068227,0.43755364066042773
66.5,28.681564206123134,-0.21740969579698186,0.5005025110930822
66.6,28.68813993207819,-0.32027670504661077,0.5660888818390316
66.7,28.69468286146323,-0.4282757386306727,0.6335885499857167
66.8,28.701193157851822,-0.5406293287214703,0.7021977996833397
66.9,28.707670984001705,-0.6564823602004223,0.7710846583524242
67.0,28.71411650185888,-0.7749740055715062,0.8394595838888489
67.1,28.720529872561624,-0.8953863178075591,0.9067169698702124
67.2,28.72691125644455,-1.0173574337675377,0.9726298180514011
67.3,28.733260813042577,-1.1398190489363773,1.0362843861417783
67.4,28.739578701094956,-1.2588384741794378,1.0940319195519377
67.5,28.745865078549215,-1.3689532752075706,1.1409572361456901
67.6,28.752120102565122,-1.4655240607847186,1.173224254510194
67.7,28.7583439295186,-1.5453520150385036,1.1886006068071915
67.8,28.76453671500564,-1.6062602750102553,1.1859532567668853
67.9,28.770698613846207,-1.646525617849431,1.1646324971109536
68.0,28.7768297800881,-1.6645290456728528,1.12410559601115
68.1,28.782930367010792,-1.658641011780996,1.0638392719733052
68.2,28.78900052712926,-1.627231240198355,0.9833094025688485
68.3,28.795040412197835,-1.5687173891791288,0.8820476240962772
68.4,28.80105017321396,-1.4816220881345996,0.7596933576001809
68.5,28.807029960421968,-1.3646703638622855,0.6160827331085882
68.60000000000001,28.812979923316856,-1.2178706025227866,0.45229933277873147
68.7,28.818900210647996,-1.053330237172971,0.2811985203209835
68.8,28.824790970422892,-0.9231177558617907,0.15374117314760338
68.9,28.830652349910842,-0.8591036408863824,0.09777259742662883
69.0,28.836484495646634,-0.8281645578676974,0.07681590845494268
69.10000000000001,28.842287553434215,-0.8074628086231813,0.06675610428282165
69.2,28.848061668350333,-0.7900013154077175,0.06020125442715648
69.3,28.853806984748164,-0.7737904994840775,0.05502406294664109
69.4,28.85952364626092,-0.7582181469823079,0.050551568469921315
69.5,28.865211795805436,-0.7430772571266927,0.04654191116961521
69.60000000000001,28.870871575585735,-0.728289008071424,0.04289161171722625
69.7,28.87650312709662,-0.7138182533463198,0.03954581847332872
